# command: if command -v dpkg-query >/dev/null 2>&1; then dpkg-query -W 2>/dev/null | sort; elif command -v pacman >/dev/null 2>&1; then pacman -Q 2>/dev/null | sort; elif command -v apk >/dev/null 2>&1; then apk info -vv 2>/dev/null | sort; elif command -v opkg >/dev/null 2>&1; then opkg list-installed 2>/dev/null | sort; fi || true

adduser	3.134
node-strip-bom	4.0.0-2
node-strip-json-comments	4.0.0-4
node-supports-color	8.1.1+~8.1.1-1
node-tapable	2.2.1-2
node-tape	5.6.1+~cs8.20.19-1
node-tar	6.1.13+~cs7.0.5-1
node-terser	5.16.5-2
node-text-table	0.2.0-4
node-through	2.3.8+~cs0.0.30-1
node-time-stamp	2.2.0-2
node-to-fast-properties	3.0.1-3
node-to-regex-range	5.0.1-4
node-tslib	2.4.1-1
node-type-check	0.4.0+dfsg-3
node-typedarray	0.0.7-1
node-typedarray-to-buffer	4.0.0-2
node-typescript	4.8.4+ds1-2
node-undici	5.15.0+dfsg1+~cs20.10.9.3-1+deb12u4
node-unicode-canonical-property-names-ecmascript	2.0.0-2
node-unicode-match-property-ecmascript	2.0.0-2
node-unicode-match-property-value-ecmascript	2.1.0+ds-1
node-unicode-property-aliases-ecmascript	2.1.0+ds-1
node-unique-filename	1.1.1+ds-2
node-uri-js	4.4.0+dfsg-8
node-util	0.12.5+~1.0.10-1
node-util-deprecate	1.0.2-3
node-uuid	8.3.2+~8.3.3-3
node-v8-compile-cache	2.3.0-3+deb12u1
node-v8flags	3.2.0+~3.1.1-1
node-validate-npm-package-license	3.0.4-2
node-validate-npm-package-name	5.0.0+~4.0.0-1
node-watchpack	2.4.0+~cs2.8.1-1
node-wcwidth.js	1.0.2-2
node-webassemblyjs	1.11.4+dfsg+~cs10.11.17-2
node-webpack-sources	3.2.3+~3.2.0-2
node-which	2.0.2+~cs1.3.2-3
node-wide-align	1.1.3-4
node-wordwrap	1.0.0-4
node-wrap-ansi	8.0.1+~8.0.1-3
node-wrappy	1.0.2-3
node-write	2.0.0~6.0.0+~3.0.4+~2.0.0+~1.0.0+~2.0.1-5
node-write-file-atomic	4.0.2+~4.0.0-1
node-xtend	4.0.2-3
node-y18n	5.0.8+~5.0.0-3
node-yallist	4.0.0+~4.0.1-1
node-yargs	16.2.0+~16.0.4-7
node-yargs-parser	21.1.1+~21.0.0-4
nodejs	18.20.4+dfsg-1~deb12u2
npm	9.2.0~ds1-1
nss-plugin-pem:amd64	1.0.8+1-1
ocaml	4.13.1-4
ocaml-base	4.13.1-4
ocaml-compiler-libs	4.13.1-4
ocaml-findlib	1.9.6-1+b1
ocaml-interp	4.13.1-4
ocaml-nox	4.13.1-4
ocl-icd-libopencl1:amd64	2.3.1-1
octave	7.3.0-2
octave-common	7.3.0-2
openjdk-17-jdk-headless:amd64	17.0.19+10-1~deb12u2
openjdk-17-jre-headless:amd64	17.0.19+10-1~deb12u2
openmpi-bin	4.1.4-3+b1
openmpi-common	4.1.4-3
openssh-client	1:9.2p1-2+deb12u7
openssh-server	1:9.2p1-2+deb12u7
openssh-sftp-server	1:9.2p1-2+deb12u7
openssl	3.0.20-1~deb12u2
pango1.0-tools	1.50.12+ds-1
passwd	1:4.13+dfsg1-1+deb12u1
patch	2.7.6-7
perl	5.36.0-7+deb12u3
perl-base	5.36.0-7+deb12u3
perl-modules-5.36	5.36.0-7+deb12u3
php-cli	2:8.2+93
php-common	2:93
php8.2-cli	8.2.31-1~deb12u1
php8.2-common	8.2.31-1~deb12u1
php8.2-opcache	8.2.31-1~deb12u1
php8.2-readline	8.2.31-1~deb12u1
pigz	2.6-1
pinentry-curses	1.2.1-1
pkg-config:amd64	1.8.1-1
pkgconf-bin	1.8.1-1
pkgconf:amd64	1.8.1-1
poppler-utils	22.12.0-2+deb12u2
postfix	3.7.11-0+deb12u1
postgresql	15+248+deb12u1
postgresql-15	15.18-0+deb12u1
postgresql-client	15+248+deb12u1
postgresql-client-15	15.18-0+deb12u1
postgresql-client-common	248+deb12u1
postgresql-common	248+deb12u1
procps	2:4.0.2-3
protobuf-compiler	3.21.12-3
psmisc	23.6-1
python-apt-common	2.6.0
python3	3.11.2-1+b1
python3-apt	2.6.0
python3-certifi	2022.9.24-1
python3-chardet	5.1.0+dfsg-2
python3-charset-normalizer	3.0.1-2
python3-debconf	1.5.82
python3-debian	0.1.49
python3-debianbts	4.0.1
python3-distutils	3.11.2-3
python3-httplib2	0.20.4-3
python3-idna	3.3-1+deb12u1
python3-lib2to3	3.11.2-3
python3-minimal	3.11.2-1+b1
python3-pip	23.0.1+dfsg-1
python3-pip-whl	23.0.1+dfsg-1
python3-pkg-resources	66.1.1-1+deb12u2
python3-pycurl	7.45.2-3
python3-pygments	2.14.0+dfsg-1
python3-pyparsing	3.0.9-1
python3-pysimplesoap	1.16.2-5
python3-reportbug	12.0.0
python3-requests	2.28.1+dfsg-1
python3-setuptools	66.1.1-1+deb12u2
python3-setuptools-whl	66.1.1-1+deb12u2
python3-six	1.16.0-4
python3-urllib3	1.26.12-1+deb12u1
python3-venv	3.11.2-1+b1
python3-wheel	0.38.4-2
python3-yaml	6.0-3+b2
python3.11	3.11.2-6+deb12u7
python3.11-minimal	3.11.2-6+deb12u7
python3.11-venv	3.11.2-6+deb12u7
qdbus-qt6	6.4.2~rc1-2
qmake6-bin	6.4.2+dfsg-10
qmake6:amd64	6.4.2+dfsg-10
qml	5.15.8+dfsg-3
qml-module-qtquick-controls2:amd64	5.15.8+dfsg-2
qml-module-qtquick-templates2:amd64	5.15.8+dfsg-2
qml-module-qtquick-window2:amd64	5.15.8+dfsg-3
qml-module-qtquick2:amd64	5.15.8+dfsg-3
qml6-module-qtqml-workerscript:amd64	6.4.2+dfsg-1
qml6-module-qtqml:amd64	6.4.2+dfsg-1
qml6-module-qtquick-controls:amd64	6.4.2+dfsg-1
qml6-module-qtquick-window:amd64	6.4.2+dfsg-1
qml6-module-qtquick:amd64	6.4.2+dfsg-1
qmlscene	5.15.8+dfsg-3
qt5-qmake-bin	5.15.8+dfsg-11+deb12u3
qt5-qmake:amd64	5.15.8+dfsg-11+deb12u3
qt5-qmltooling-plugins:amd64	5.15.8+dfsg-3
qt6-base-dev-tools	6.4.2+dfsg-10
qt6-base-dev:amd64	6.4.2+dfsg-10
qt6-declarative-dev-tools	6.4.2+dfsg-1
qt6-declarative-dev:amd64	6.4.2+dfsg-1
qt6-documentation-tools	6.4.2~rc1-2
qt6-l10n-tools	6.4.2~rc1-2
qt6-qmltooling-plugins:amd64	6.4.2+dfsg-1
qt6-qpa-plugins:amd64	6.4.2+dfsg-10
qt6-tools-dev-tools	6.4.2~rc1-2
qtbase5-dev-tools	5.15.8+dfsg-11+deb12u3
qtbase5-dev:amd64	5.15.8+dfsg-11+deb12u3
qtchooser	66-2
qtdeclarative5-dev-tools	5.15.8+dfsg-3
qtdeclarative5-dev:amd64	5.15.8+dfsg-3
qtquickcontrols2-5-dev:amd64	5.15.8+dfsg-2
r-base-core	4.2.2.20221110-2
racket	8.7+dfsg1-1
racket-common	8.7+dfsg1-1
rake	13.0.6-3
readline-common	8.2-1.3
reportbug	12.0.0
ripgrep	13.0.0-4+b2
rpcsvc-proto	1.4.3-1
ruby	1:3.1
ruby-net-telnet	0.2.0-1
ruby-rubygems	3.3.15-2+deb12u1
ruby-sdbm:amd64	1.0.0-5+b1
ruby-webrick	1.8.1-1
ruby-xmlrpc	0.3.2-2
ruby3.1	3.1.2-7+deb12u1
rubygems-integration	1.18
runit-helper	2.15.2
rustc	1.63.0+dfsg1-2
scala	2.11.12-5
scala-library	2.11.12-5
scala-parser-combinators	1.0.3-3.1
scala-xml	1.0.3-3.1
sed	4.9-1
sensible-utils	0.0.17+nmu1
sgml-base	1.31
shared-mime-info	2.2-1
shellcheck	0.9.0-1
sqlite3	3.40.1-2+deb12u2
ssh	1:9.2p1-2+deb12u7
ssl-cert	1.1.2
sudo	1.9.13p3-1+deb12u4
swi-prolog	9.0.4+dfsg-2
swi-prolog-core	9.0.4+dfsg-2
swi-prolog-core-packages	9.0.4+dfsg-2
swi-prolog-doc	9.0.4+dfsg-2
swi-prolog-nox	9.0.4+dfsg-2
swi-prolog-x	9.0.4+dfsg-2
sysstat	12.6.1-1
systemd	252.39-1~deb12u1
systemd-sysv	252.39-1~deb12u1
systemd-timesyncd	252.39-1~deb12u1
sysvinit-utils	3.06-4
tar	1.34+dfsg-1.2+deb12u1
tasksel	3.73
tasksel-data	3.73
terser	5.16.5-2
tex-common	6.18
texinfo	6.8-6+b1
tini	0.19.0-1+b3
traceroute	1:2.1.2-1
tzdata	2026b-0+deb12u1
ucf	3.0043+nmu1+deb12u1
udev	252.39-1~deb12u1
unzip	6.0-28
usrmerge	37~deb12u1
util-linux	2.38.1-5+deb12u3
util-linux-extra	2.38.1-5+deb12u3
uuid-dev:amd64	2.38.1-5+deb12u3
velocity	1.7-6
vim-common	2:9.0.1378-2+deb12u2
vim-tiny	2:9.0.1378-2+deb12u2
wamerican	2020.12.07-2
webpack	5.75.0+dfsg+~cs17.16.14-1+deb12u1
wget	1.21.3-1+deb12u1
whiptail	0.52.23-1+b1
x11-common	1:7.7+23
x11-utils	7.7+5
x11-xkb-utils	7.7+7
x11proto-dev	2022.1-1
xdg-utils	1.1.3-4.1
xfonts-encodings	1:1.0.4-2.2
xfonts-scalable	1:1.0.3-1.3
xfonts-utils	1:7.7+6
xkb-data	2.35.1-1
xorg-sgml-doctools	1:1.11-1.1
xserver-common	2:21.1.7-3+deb12u12
xtrans-dev	1.4.0-1
xvfb	2:21.1.7-3+deb12u12
xz-utils	5.4.1-1
zip	3.0-13
zlib1g-dev:amd64	1:1.2.13.dfsg-1
zlib1g:amd64	1:1.2.13.dfsg-1
zstd	1.5.4+dfsg2-5
